,Class,Specificity,Sensitivity,Precision,Accuracy,F1
36,Mug,"{'Average': 0.9914637482900136, 'Median': 0.9904240766073872, 'Min': 0.9895120839033288, 'Max': 0.9931600547195623}","{'Average': 0.2512000000000001, 'Median': 0.16, 'Min': 0.08, 'Max': 0.4}","{'Average': 0.2512000000000001, 'Median': 0.16, 'Min': 0.08, 'Max': 0.4}","{'Average': 0.9831199278629397, 'Median': 0.9810640216411182, 'Min': 0.9792605951307484, 'Max': 0.9864743011722272}","{'Average': 0.2512000000000001, 'Median': 0.16, 'Min': 0.08, 'Max': 0.4000000000000001}"
37,MultiSeat,"{'Average': 0.984153969526864, 'Median': 0.9848275862068966, 'Min': 0.9806896551724138, 'Max': 0.9871264367816092}","{'Average': 0.1984856679286101, 'Median': 0.23255813953488372, 'Min': 0.023255813953488372, 'Max': 0.3488372093023256}","{'Average': 0.1984856679286101, 'Median': 0.23255813953488372, 'Min': 0.023255813953488372, 'Max': 0.3488372093023256}","{'Average': 0.9689223478096756, 'Median': 0.9702434625788999, 'Min': 0.9621280432822362, 'Max': 0.9747520288548241}","{'Average': 0.1984856679286101, 'Median': 0.23255813953488372, 'Min': 0.02325581395348837, 'Max': 0.3488372093023256}"
38,Musical_Instrument,"{'Average': 0.9922656960873522, 'Median': 0.991810737033667, 'Min': 0.9913557779799818, 'Max': 0.9936305732484076}","{'Average': 0.15, 'Median': 0.1, 'Min': 0.05, 'Max': 0.3}","{'Average': 0.15, 'Median': 0.1, 'Min': 0.05, 'Max': 0.3}","{'Average': 0.9846708746618577, 'Median': 0.9837691614066727, 'Min': 0.9828674481514879, 'Max': 0.9873760144274121}","{'Average': 0.15, 'Median': 0.10000000000000002, 'Min': 0.05000000000000001, 'Max': 0.3}"
39,NonWheelChair,"{'Average': 0.9799891875193081, 'Median': 0.9805375347544022, 'Min': 0.9726598702502317, 'Max': 0.9884151992585728}","{'Average': 0.28027777777777774, 'Median': 0.3, 'Min': 0.016666666666666666, 'Max': 0.5833333333333334}","{'Average': 0.28027777777777774, 'Median': 0.3, 'Min': 0.016666666666666666, 'Max': 0.5833333333333334}","{'Average': 0.9610610159302673, 'Median': 0.9621280432822362, 'Min': 0.9467989179440938, 'Max': 0.9774571686203787}","{'Average': 0.28027777777777774, 'Median': 0.3, 'Min': 0.016666666666666666, 'Max': 0.5833333333333334}"
40,PlantIndoors,"{'Average': 0.9730536996677267, 'Median': 0.9730608453320948, 'Min': 0.9702740362285184, 'Max': 0.9777055271713888}","{'Average': 0.10745562130177515, 'Median': 0.1076923076923077, 'Min': 0.015384615384615385, 'Max': 0.26153846153846155}","{'Average': 0.10745562130177515, 'Median': 0.1076923076923077, 'Min': 0.015384615384615385, 'Max': 0.26153846153846155}","{'Average': 0.9476867586876603, 'Median': 0.9477006311992786, 'Min': 0.9422903516681695, 'Max': 0.9567177637511272}","{'Average': 0.10745562130177515, 'Median': 0.10769230769230768, 'Min': 0.015384615384615385, 'Max': 0.26153846153846155}"
41,PlantWildNonTree,"{'Average': 0.9884713558834967, 'Median': 0.9890460976722958, 'Min': 0.9881332724783204, 'Max': 0.9890460976722958}","{'Average': 0.06447187928669408, 'Median': 0.1111111111111111, 'Min': 0.037037037037037035, 'Max': 0.1111111111111111}","{'Average': 0.06447187928669408, 'Median': 0.1111111111111111, 'Min': 0.037037037037037035, 'Max': 0.1111111111111111}","{'Average': 0.9772233911097753, 'Median': 0.9783588818755635, 'Min': 0.9765554553651938, 'Max': 0.9783588818755635}","{'Average': 0.06447187928669408, 'Median': 0.1111111111111111, 'Min': 0.037037037037037035, 'Max': 0.1111111111111111}"
42,Quadruped,"{'Average': 0.9793062016447873, 'Median': 0.980101804720037, 'Min': 0.974086071263304, 'Max': 0.985192040721888}","{'Average': 0.21545090797168362, 'Median': 0.24561403508771928, 'Min': 0.017543859649122806, 'Max': 0.43859649122807015}","{'Average': 0.21545090797168362, 'Median': 0.24561403508771928, 'Min': 0.017543859649122806, 'Max': 0.43859649122807015}","{'Average': 0.959676016009365, 'Median': 0.9612263300270514, 'Min': 0.9495040577096483, 'Max': 0.9711451758340848}","{'Average': 0.21545090797168362, 'Median': 0.24561403508771928, 'Min': 0.017543859649122806, 'Max': 0.43859649122807015}"
43,RectangleTable,"{'Average': 0.9773820652545658, 'Median': 0.980528511821975, 'Min': 0.972183588317107, 'Max': 0.9837737598516458}","{'Average': 0.20021499596882555, 'Median': 0.3114754098360656, 'Min': 0.01639344262295082, 'Max': 0.4262295081967213}","{'Average': 0.20021499596882555, 'Median': 0.3114754098360656, 'Min': 0.01639344262295082, 'Max': 0.4262295081967213}","{'Average': 0.9560082188945885, 'Median': 0.9621280432822362, 'Min': 0.9458972046889089, 'Max': 0.9684400360685302}","{'Average': 0.20021499596882555, 'Median': 0.3114754098360656, 'Min': 0.01639344262295082, 'Max': 0.4262295081967213}"
44,Rocket,"{'Average': 0.9922202001819835, 'Median': 0.9913557779799818, 'Min': 0.9913557779799818, 'Max': 0.9940855323020928}","{'Average': 0.14500000000000002, 'Median': 0.05, 'Min': 0.05, 'Max': 0.35}","{'Average': 0.14500000000000002, 'Median': 0.05, 'Min': 0.05, 'Max': 0.35}","{'Average': 0.9845807033363391, 'Median': 0.9828674481514879, 'Min': 0.9828674481514879, 'Max': 0.9882777276825969}","{'Average': 0.14500000000000002, 'Median': 0.05000000000000001, 'Min': 0.05000000000000001, 'Max': 0.35}"
45,RoundTable,"{'Average': 0.9883759902498479, 'Median': 0.9876599634369287, 'Min': 0.9867458866544789, 'Max': 0.9908592321755028}","{'Average': 0.15222222222222223, 'Median': 0.1, 'Min': 0.03333333333333333, 'Max': 0.3333333333333333}","{'Average': 0.15222222222222223, 'Median': 0.1, 'Min': 0.03333333333333333, 'Max': 0.3333333333333333}","{'Average': 0.9770664262097986, 'Median': 0.975653742110009, 'Min': 0.9738503155996393, 'Max': 0.981965734896303}","{'Average': 0.15222222222222223, 'Median': 0.10000000000000002, 'Min': 0.03333333333333333, 'Max': 0.3333333333333333}"
