,Class,Specificity,Sensitivity,Precision,Accuracy,F1
10,Cellphone,"{'Average': 0.9918562329390357, 'Median': 0.9913557779799818, 'Min': 0.9913557779799818, 'Max': 0.9936305732484076}","{'Average': 0.10500000000000002, 'Median': 0.05, 'Min': 0.05, 'Max': 0.3}","{'Average': 0.10500000000000002, 'Median': 0.05, 'Min': 0.05, 'Max': 0.3}","{'Average': 0.9838593327321913, 'Median': 0.9828674481514879, 'Min': 0.9828674481514879, 'Max': 0.9873760144274121}","{'Average': 0.10500000000000002, 'Median': 0.05000000000000001, 'Min': 0.05000000000000001, 'Max': 0.3}"
11,Chess,"{'Average': 0.9856333158263306, 'Median': 0.9811580882352942, 'Min': 0.9811580882352942, 'Max': 0.9889705882352942}","{'Average': 0.25566893424036286, 'Median': 0.023809523809523808, 'Min': 0.023809523809523808, 'Max': 0.42857142857142855}","{'Average': 0.25566893424036286, 'Median': 0.023809523809523808, 'Min': 0.023809523809523808, 'Max': 0.42857142857142855}","{'Average': 0.9718107260938638, 'Median': 0.9630297565374211, 'Min': 0.9630297565374211, 'Max': 0.9783588818755635}","{'Average': 0.25566893424036286, 'Median': 0.023809523809523808, 'Min': 0.023809523809523808, 'Max': 0.42857142857142855}"
12,City,"{'Average': 0.9894020213363278, 'Median': 0.988594890510949, 'Min': 0.988594890510949, 'Max': 0.9904197080291971}","{'Average': 0.10650887573964499, 'Median': 0.038461538461538464, 'Min': 0.038461538461538464, 'Max': 0.19230769230769232}","{'Average': 0.10650887573964499, 'Median': 0.038461538461538464, 'Min': 0.038461538461538464, 'Max': 0.19230769230769232}","{'Average': 0.9790525074564752, 'Median': 0.9774571686203787, 'Min': 0.9774571686203787, 'Max': 0.9810640216411182}","{'Average': 0.10650887573964499, 'Median': 0.038461538461538464, 'Min': 0.038461538461538464, 'Max': 0.19230769230769232}"
13,Computer,"{'Average': 0.9877123639137371, 'Median': 0.9871853546910755, 'Min': 0.9853546910755149, 'Max': 0.9908466819221968}","{'Average': 0.18640955004591359, 'Median': 0.15151515151515152, 'Min': 0.030303030303030304, 'Max': 0.3939393939393939}","{'Average': 0.18640955004591359, 'Median': 0.15151515151515152, 'Min': 0.030303030303030304, 'Max': 0.3939393939393939}","{'Average': 0.9757903653304915, 'Median': 0.9747520288548241, 'Min': 0.9711451758340848, 'Max': 0.981965734896303}","{'Average': 0.18640955004591359, 'Median': 0.15151515151515152, 'Min': 0.030303030303030304, 'Max': 0.3939393939393939}"
14,Cup,"{'Average': 0.9882236441194396, 'Median': 0.9872029250457038, 'Min': 0.9867458866544789, 'Max': 0.9899451553930531}","{'Average': 0.14111111111111116, 'Median': 0.06666666666666667, 'Min': 0.03333333333333333, 'Max': 0.26666666666666666}","{'Average': 0.14111111111111116, 'Median': 0.06666666666666667, 'Min': 0.03333333333333333, 'Max': 0.26666666666666666}","{'Average': 0.9767658551247371, 'Median': 0.9747520288548241, 'Min': 0.9738503155996393, 'Max': 0.9801623083859333}","{'Average': 0.14111111111111116, 'Median': 0.06666666666666667, 'Min': 0.03333333333333333, 'Max': 0.26666666666666666}"
15,DeskLamp,"{'Average': 0.9884508164078057, 'Median': 0.9867398262459991, 'Min': 0.9862825788751715, 'Max': 0.9926840420667581}","{'Average': 0.1852237252861602, 'Median': 0.06451612903225806, 'Min': 0.03225806451612903, 'Max': 0.4838709677419355}","{'Average': 0.1852237252861602, 'Median': 0.06451612903225806, 'Min': 0.03225806451612903, 'Max': 0.4838709677419355}","{'Average': 0.9772244684254923, 'Median': 0.9738503155996393, 'Min': 0.9729486023444545, 'Max': 0.9855725879170424}","{'Average': 0.18522372528616027, 'Median': 0.06451612903225806, 'Min': 0.03225806451612903, 'Max': 0.4838709677419355}"
16,DeskPhone,"{'Average': 0.9919927206551412, 'Median': 0.991810737033667, 'Min': 0.9913557779799818, 'Max': 0.9927206551410374}","{'Average': 0.12000000000000004, 'Median': 0.1, 'Min': 0.05, 'Max': 0.2}","{'Average': 0.12000000000000004, 'Median': 0.1, 'Min': 0.05, 'Max': 0.2}","{'Average': 0.9841298467087466, 'Median': 0.9837691614066727, 'Min': 0.9828674481514879, 'Max': 0.9855725879170424}","{'Average': 0.12000000000000004, 'Median': 0.10000000000000002, 'Min': 0.05000000000000001, 'Max': 0.20000000000000004}"
17,Door,"{'Average': 0.985291042903738, 'Median': 0.983900643974241, 'Min': 0.9802207911683533, 'Max': 0.9912603495860166}","{'Average': 0.2732438016528926, 'Median': 0.20454545454545456, 'Min': 0.022727272727272728, 'Max': 0.5681818181818182}","{'Average': 0.2732438016528926, 'Median': 0.20454545454545456, 'Min': 0.022727272727272728, 'Max': 0.5681818181818182}","{'Average': 0.971165669317157, 'Median': 0.9684400360685302, 'Min': 0.9612263300270514, 'Max': 0.9828674481514879}","{'Average': 0.2732438016528926, 'Median': 0.20454545454545456, 'Min': 0.022727272727272728, 'Max': 0.5681818181818182}"
18,Fish,"{'Average': 0.9935395814376706, 'Median': 0.9945404913557779, 'Min': 0.9913557779799818, 'Max': 0.9949954504094631}","{'Average': 0.2899999999999999, 'Median': 0.4, 'Min': 0.05, 'Max': 0.45}","{'Average': 0.2899999999999999, 'Median': 0.4, 'Min': 0.05, 'Max': 0.45}","{'Average': 0.9871956717763753, 'Median': 0.9891794409377818, 'Min': 0.9828674481514879, 'Max': 0.9900811541929666}","{'Average': 0.2899999999999999, 'Median': 0.4000000000000001, 'Min': 0.05000000000000001, 'Max': 0.45}"
19,FloorLamp,"{'Average': 0.9879321591650359, 'Median': 0.9876712328767123, 'Min': 0.9876712328767123, 'Max': 0.9894977168949771}","{'Average': 0.05612244897959184, 'Median': 0.03571428571428571, 'Min': 0.03571428571428571, 'Max': 0.17857142857142858}","{'Average': 0.05612244897959184, 'Median': 0.03571428571428571, 'Min': 0.03571428571428571, 'Max': 0.17857142857142858}","{'Average': 0.9761690068272574, 'Median': 0.975653742110009, 'Min': 0.975653742110009, 'Max': 0.9792605951307484}","{'Average': 0.05612244897959184, 'Median': 0.03571428571428571, 'Min': 0.03571428571428571, 'Max': 0.17857142857142858}"
20,Glasses,"{'Average': 0.9946997270245678, 'Median': 0.9949954504094631, 'Min': 0.9913557779799818, 'Max': 0.997270245677889}","{'Average': 0.4175000000000001, 'Median': 0.45, 'Min': 0.05, 'Max': 0.7}","{'Average': 0.4175000000000001, 'Median': 0.45, 'Min': 0.05, 'Max': 0.7}","{'Average': 0.9894950405770965, 'Median': 0.9900811541929666, 'Min': 0.9828674481514879, 'Max': 0.9945897204688909}","{'Average': 0.4175000000000001, 'Median': 0.45, 'Min': 0.05000000000000001, 'Max': 0.7}"
21,Guitar,"{'Average': 0.9927434030937217, 'Median': 0.9931756141947224, 'Min': 0.9913557779799818, 'Max': 0.9949954504094631}","{'Average': 0.20250000000000004, 'Median': 0.25, 'Min': 0.05, 'Max': 0.45}","{'Average': 0.20250000000000004, 'Median': 0.25, 'Min': 0.05, 'Max': 0.45}","{'Average': 0.9856176735798016, 'Median': 0.9864743011722272, 'Min': 0.9828674481514879, 'Max': 0.9900811541929666}","{'Average': 0.20250000000000004, 'Median': 0.25, 'Min': 0.05000000000000001, 'Max': 0.45}"
22,Gun,"{'Average': 0.977138589184669, 'Median': 0.975937066173068, 'Min': 0.974086071263304, 'Max': 0.9805645534474781}","{'Average': 0.13327177593105569, 'Median': 0.08771929824561403, 'Min': 0.017543859649122806, 'Max': 0.2631578947368421}","{'Average': 0.13327177593105569, 'Median': 0.08771929824561403, 'Min': 0.017543859649122806, 'Max': 0.2631578947368421}","{'Average': 0.95545220128771, 'Median': 0.9531109107303878, 'Min': 0.9495040577096483, 'Max': 0.9621280432822362}","{'Average': 0.13327177593105569, 'Median': 0.08771929824561403, 'Min': 0.017543859649122806, 'Max': 0.2631578947368421}"
23,Hand,"{'Average': 0.9867405231916925, 'Median': 0.9839523154516276, 'Min': 0.9834938101788171, 'Max': 0.9894543787253554}","{'Average': 0.2184075967859752, 'Median': 0.05405405405405406, 'Min': 0.02702702702702703, 'Max': 0.3783783783783784}","{'Average': 0.2184075967859752, 'Median': 0.05405405405405406, 'Min': 0.02702702702702703, 'Max': 0.3783783783783784}","{'Average': 0.9739234274851946, 'Median': 0.9684400360685302, 'Min': 0.9675383228133454, 'Max': 0.9792605951307484}","{'Average': 0.2184075967859752, 'Median': 0.05405405405405406, 'Min': 0.02702702702702703, 'Max': 0.37837837837837834}"
24,Hat,"{'Average': 0.9942805265546981, 'Median': 0.9950068088969587, 'Min': 0.9936450295052202, 'Max': 0.9950068088969587}","{'Average': 0.16, 'Median': 0.26666666666666666, 'Min': 0.06666666666666667, 'Max': 0.26666666666666666}","{'Average': 0.16, 'Median': 0.26666666666666666, 'Min': 0.06666666666666667, 'Max': 0.26666666666666666}","{'Average': 0.9886384129846708, 'Median': 0.9900811541929666, 'Min': 0.9873760144274121, 'Max': 0.9900811541929666}","{'Average': 0.16, 'Median': 0.26666666666666666, 'Min': 0.06666666666666667, 'Max': 0.26666666666666666}"
25,Helicopter,"{'Average': 0.9818037044074668, 'Median': 0.9829257037378865, 'Min': 0.9769266266728196, 'Max': 0.9875403784033225}","{'Average': 0.2268358323721645, 'Median': 0.27450980392156865, 'Min': 0.0196078431372549, 'Max': 0.47058823529411764}","{'Average': 0.2268358323721645, 'Median': 0.27450980392156865, 'Min': 0.0196078431372549, 'Max': 0.47058823529411764}","{'Average': 0.9644442087024164, 'Median': 0.9666366095581606, 'Min': 0.9549143372407575, 'Max': 0.975653742110009}","{'Average': 0.2268358323721645, 'Median': 0.27450980392156865, 'Min': 0.0196078431372549, 'Max': 0.47058823529411764}"
